[2025-08-02 20:20:08.501] [info]  DiscordSplash.signalReady
[2025-08-02 20:20:08.573] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-08-02 20:20:08.573] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-08-02 20:20:08.575] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-08-02 20:20:08.576] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-08-02 20:20:08.576] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-08-02 20:20:08.577] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-08-02 20:20:08.577] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-08-02 20:20:08.577] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-08-02 20:20:08.578] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-08-02 20:20:08.579] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-08-02 20:20:08.579] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-08-02 20:20:08.579] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-08-02 20:20:08.580] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-08-02 20:20:08.580] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-08-02 20:20:08.924] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-08-02 20:20:08.924] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-08-02 20:20:09.273] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-08-02 20:20:09.274] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
